difficulty,battery,key,prompt_id,attempt,family,prompt,state,outcome,end_reason,auto_success,verdict,graded,human_pass,wall_seconds,tokens_in,tokens_out,tokens_total,llm_calls,started_at,ended_at,legs_planned,legs_completed
easy,20260727_020820-easy,easy_01/try01,easy_01,1,pickup,Find and pick up Ritz Crackers,finished,operator_kill,,False,fail,True,False,2864.8,2356038,42716,2398754,174,2026-07-27T02:08:20,2026-07-27T02:56:05,0,0
easy,20260727_020820-easy,easy_01/try02,easy_01,2,pickup,Find and pick up Ritz Crackers,finished,operator_kill,,False,fail,True,False,2857.0,2213074,41048,2254122,196,2026-07-27T02:08:20,2026-07-27T02:55:57,0,0
easy,20260727_020820-easy,easy_01/try03,easy_01,3,pickup,Find and pick up Ritz Crackers,finished,operator_kill,,False,fail,True,False,2873.9,2271942,43111,2315053,172,2026-07-27T02:08:20,2026-07-27T02:56:14,0,0
easy,20260727_020820-easy,easy_01/try04,easy_01,4,pickup,Find and pick up Ritz Crackers,finished,completed,halt_granted,True,pass,True,True,639.5,490060,11417,501477,55,2026-07-27T02:08:20,2026-07-27T02:19:00,1,1
easy,20260727_020820-easy,easy_01/try05,easy_01,5,pickup,Find and pick up Ritz Crackers,finished,operator_kill,,False,fail,True,False,2845.6,2501856,42564,2544420,169,2026-07-27T02:08:20,2026-07-27T02:55:46,0,0
easy,20260727_020820-easy,easy_02/try01,easy_02,1,pickup,Find and pick up any chips,finished,completed,halt_granted,True,pass,True,True,769.4,469362,12966,482328,50,2026-07-27T02:08:20,2026-07-27T02:21:10,1,1
easy,20260727_020820-easy,easy_02/try02,easy_02,2,pickup,Find and pick up any chips,finished,completed,halt_granted,True,pass,True,True,2054.6,1418841,29757,1448598,109,2026-07-27T02:08:20,2026-07-27T02:42:35,1,1
easy,20260727_020820-easy,easy_02/try03,easy_02,3,pickup,Find and pick up any chips,finished,completed,halt_granted,True,pass,True,True,2019.3,1691429,30301,1721730,109,2026-07-27T02:08:20,2026-07-27T02:41:59,1,1
easy,20260727_020820-easy,easy_02/try04,easy_02,4,pickup,Find and pick up any chips,finished,completed,halt_granted,True,pass,True,True,1071.1,772972,17237,790209,64,2026-07-27T02:08:20,2026-07-27T02:26:11,1,1
easy,20260727_020820-easy,easy_02/try05,easy_02,5,pickup,Find and pick up any chips,finished,completed,halt_granted,True,pass,True,True,690.5,438654,12037,450691,48,2026-07-27T02:08:20,2026-07-27T02:19:51,1,1
