arm,battery,prompt_id,family,attempt,success,verified_verdict,verified,success_final,excluded,false_pass,false_fail,outcome,end_reason,clean,wall_seconds,tokens_in,tokens_out,llm_calls,legs_planned,legs_completed,leg_files,steps,halt_requests,semantic_chars,requeues,leg_retries,actor_in,actor_out,actor_calls,semantic_in,semantic_out,semantic_calls,episodic_in,episodic_out,episodic_calls,perception_in,perception_out,perception_calls,guard_in,guard_out,guard_calls,findings_in,findings_out,findings_calls,resolver_in,resolver_out,resolver_calls,decomposer_in,decomposer_out,decomposer_calls,responder_in,responder_out,responder_calls
baseline,20260730_040404,easy_03,pickup,1,1,pass,1,1,0,0,0,completed,halt_granted,1,526.2,182816,14230,27,2,2,2,5,2,18300,0,0,51742,1032,5,79953,1079,7,18775,1462,5,4374,1621,4,1017,51,1,926,3161,1,21954,3729,2,1597,1046,1,2478,1049,1
baseline,20260730_040404,easy_01,pickup,1,1,pass,1,1,0,0,0,completed,halt_granted,1,532.8,236957,8225,28,1,1,1,7,1,18439,0,0,91579,1557,7,87046,1134,8,28045,1851,7,15401,757,14,1009,47,1,0,0,0,10978,878,1,1595,876,1,1304,1125,1
baseline,20260730_040404,easy_03,pickup,2,1,pass,1,1,0,0,0,completed,halt_granted,1,568.2,183769,14111,27,2,2,2,5,2,18485,0,0,51966,1327,5,80064,1119,7,19294,1532,5,4394,1655,4,1017,49,1,966,2439,1,21954,4656,2,1597,243,1,2517,1091,1
baseline,20260730_040404,easy_03,pickup,3,1,pass,1,1,0,0,0,completed,halt_granted,1,577.8,183081,14581,27,2,2,2,5,2,18443,0,0,51759,1188,5,79975,1076,7,18948,1414,5,4394,1549,4,1017,52,1,961,2679,1,21954,4384,2,1597,847,1,2476,1392,1
baseline,20260730_040404,easy_01,pickup,3,1,pass,1,1,0,0,0,completed,halt_granted,1,698.3,361088,10410,37,1,1,1,10,1,19082,0,0,163378,2250,10,120962,1686,11,43992,2988,10,17623,929,16,1009,45,1,0,0,0,10978,990,1,1595,241,1,1551,1281,1
baseline,20260730_040404,medium_01,checkout,1,1,pass,1,1,0,0,0,completed,halt_granted,1,1100.1,264243,17089,32,2,2,2,7,2,18913,0,0,76241,1577,7,102163,1505,9,26819,2255,7,41332,5752,38,1013,43,1,1266,2961,1,10977,1632,1,1597,376,1,2835,988,1
baseline,20260730_040404,medium_03,checkout,1,1,pass,1,1,0,0,0,completed,halt_granted,1,1337.0,534214,28504,58,3,3,3,12,3,20231,0,0,144772,2879,12,182257,3377,15,62871,3699,12,106528,7499,98,7113,327,7,2461,6001,2,21955,2433,2,1602,1231,1,4655,1058,1
baseline,20260730_040404,hard_03,reasoning,1,0,fail,1,0,0,0,0,completed,halt_forced,1,613.9,138281,15697,35,4,1,3,1,7,17439,0,0,6973,230,1,93871,2112,8,1464,289,1,0,0,0,8341,726,6,1027,3481,1,21953,3294,2,1603,3166,1,3049,2399,1
baseline,20260730_040404,medium_01,checkout,2,1,pass,1,1,0,0,0,completed,halt_granted,1,1837.6,844454,32225,74,2,2,2,21,2,22057,0,0,379400,5128,21,271952,3658,23,101386,7063,21,72722,9880,66,1015,49,1,1707,3099,1,10977,1561,1,1597,275,1,3698,1512,1
baseline,20260730_040404,medium_03,checkout,3,1,pass,1,1,0,0,0,completed,halt_granted,1,2017.2,529303,29399,58,3,3,3,12,3,20131,0,0,141415,2894,12,182687,2397,15,59529,3859,12,107712,7407,99,7113,365,7,2456,7642,2,21955,2594,2,1602,1218,1,4834,1023,1
baseline,20260730_040404,medium_03,checkout,2,1,pass,1,1,0,0,0,completed,halt_granted,1,2031.9,527410,29510,58,3,3,3,12,3,20352,0,0,141253,2803,12,182585,2506,15,59276,3874,12,106480,7497,98,7113,303,7,2439,6825,2,21955,2926,2,1602,1683,1,4707,1093,1
baseline,20260730_040404,hard_03,reasoning,2,1,fail,1,0,0,1,0,completed,halt_granted,1,1586.4,769670,36238,85,4,4,4,17,5,22149,0,0,290682,4394,17,286713,4056,22,92221,5463,17,53540,5105,49,12569,1193,12,3924,8514,3,21954,3386,2,1603,2363,1,6464,1764,1
baseline,20260730_040404,hard_01,reasoning,1,1,fail,1,0,0,1,0,completed,halt_granted,1,2920.2,1228426,50110,171,4,4,4,27,5,24225,0,0,490021,6519,27,409853,5455,32,159435,9417,27,52439,8763,48,82698,4528,68,4368,9888,3,21953,2508,2,1610,1880,1,6049,1152,1
baseline,20260730_040404,hard_01,reasoning,2,1,pass,1,1,0,0,0,completed,halt_granted,1,2984.3,909558,49717,132,4,4,4,21,4,22909,0,0,308759,5433,21,321392,4692,25,118200,7149,21,64432,12566,59,63297,3455,50,3968,9595,3,21953,2472,2,1610,2329,1,5947,2026,1
baseline,20260730_040404,hard_03,reasoning,3,1,fail,1,0,0,1,0,completed,halt_granted,1,1943.3,768678,36052,85,4,4,4,17,5,22096,0,0,290350,4290,17,286497,4110,22,92032,5149,17,53533,5044,49,12571,993,12,3858,8817,3,21954,3426,2,1603,2835,1,6280,1388,1
baseline,20260730_040404,easy_01,pickup,2,0,fail,1,0,0,0,0,completed,time_cap,1,4958.7,7268657,96636,285,1,0,2,91,0,41738,0,1,5351955,22572,91,1255804,16524,91,526842,33077,91,107768,20751,97,9157,468,9,0,0,0,10978,857,1,1595,668,1,4558,1719,1
baseline,20260730_040404,hard_01,reasoning,3,1,fail,1,0,0,1,0,completed,halt_granted,1,4512.0,2085138,63719,186,4,4,4,39,6,27085,0,0,1090104,10002,39,580773,8061,45,216410,13258,39,108490,14889,99,55145,2604,44,5260,9786,3,21953,2480,2,1610,1608,1,5393,1031,1
baseline,20260730_040404,medium_01,checkout,3,0,fail,1,0,0,0,0,harness_timeout,,0,7320.0,162266,7193,23,0,0,1,5,0,18125,0,1,58171,1100,5,65453,988,6,20568,1544,5,5500,1831,5,0,0,0,0,0,0,10977,1354,1,1597,376,1,0,0,0
a1,20260730_143507_context-ablation-a1,easy_03,pickup,1,1,pass,1,1,0,0,0,completed,halt_granted,1,494.1,182359,13476,27,2,2,2,5,2,17162,0,0,51988,990,5,78911,1175,7,18979,1636,5,4396,1584,4,1017,50,1,957,3049,1,21954,3791,2,1597,372,1,2560,829,1
a1,20260730_143507_context-ablation-a1,easy_03,pickup,3,1,pass,1,1,0,0,0,completed,halt_granted,1,510.9,181919,13632,27,2,2,2,5,2,17162,0,0,51857,1134,5,78644,1183,7,18992,1619,5,4384,1584,4,1017,46,1,937,3006,1,21954,3721,2,1597,239,1,2537,1100,1
a1,20260730_143507_context-ablation-a1,easy_03,pickup,2,1,pass,1,1,0,0,0,completed,halt_granted,1,529.3,183845,15072,27,2,2,2,5,2,17162,0,0,52409,1102,5,79357,1107,7,19512,1559,5,4408,1620,4,1017,51,1,942,2834,1,21954,4643,2,1597,825,1,2649,1331,1
a1,20260730_143507_context-ablation-a1,medium_03,checkout,1,1,pass,1,1,0,0,0,completed,halt_granted,1,1631.0,521794,29706,58,3,3,3,12,3,17162,0,0,141840,2726,12,176881,2787,15,59786,3822,12,105354,7529,97,7113,331,7,2491,6894,2,21955,2674,2,1602,1770,1,4772,1173,1
a1,20260730_143507_context-ablation-a1,medium_03,checkout,3,1,pass,1,1,0,0,0,completed,halt_granted,1,2378.0,519260,28550,58,3,3,3,12,3,17162,0,0,139698,2797,12,175599,2323,15,57715,3695,12,108590,7848,100,7113,303,7,2408,5922,2,21955,3001,2,1602,1690,1,4580,971,1
a1,20260730_143507_context-ablation-a1,medium_03,checkout,2,1,pass,1,1,0,0,0,completed,halt_granted,1,2638.7,521954,29358,58,3,3,3,12,3,17162,0,0,141524,2701,12,177611,2574,15,59445,3628,12,105402,7459,97,7113,310,7,2473,6882,2,21955,2919,2,1602,1665,1,4829,1220,1
a1,20260730_143507_context-ablation-a1,easy_01,pickup,3,0,fail,1,0,0,0,0,completed,time_cap,1,4950.7,4755027,74277,228,1,0,2,73,0,17162,0,1,3441736,16965,73,790369,12429,73,399374,26181,73,99331,15448,90,6102,345,6,0,0,0,10978,1002,1,1595,321,1,5542,1586,1
a1,20260730_143507_context-ablation-a1,easy_01,pickup,2,0,fail,1,0,0,0,0,completed,time_cap,1,4988.1,5051956,72829,237,1,0,2,76,0,17162,0,1,3685410,18888,76,822507,13150,76,423309,26665,76,96383,11329,87,6102,324,6,0,0,0,10978,878,1,1595,339,1,5672,1256,1
a1,20260730_143507_context-ablation-a1,hard_03,reasoning,1,1,fail,1,0,0,1,0,completed,halt_granted,1,2156.5,576261,32402,66,4,4,4,12,5,17162,0,0,199084,3149,12,217685,3057,17,68332,3625,12,49112,3977,45,8505,702,8,3593,9397,3,21954,3125,2,1603,2945,1,6393,2425,1
a1,20260730_143507_context-ablation-a1,medium_01,checkout,2,0,fail,1,0,0,0,0,completed,time_cap,1,5559.4,6075272,100809,275,2,1,3,89,1,17162,0,1,4416449,30410,89,1066738,24230,90,524277,36301,89,48421,3515,43,1016,48,1,1463,3223,1,10977,1224,1,1597,580,1,4334,1278,1
a1,20260730_143507_context-ablation-a1,medium_01,checkout,1,1,pass,1,1,0,0,0,completed,halt_granted,1,5568.4,3281349,70786,193,2,2,3,57,3,17162,0,1,2152718,12702,57,654399,9977,60,322205,19479,57,121809,21494,111,9137,519,9,2429,3024,1,10977,1285,1,1597,1108,1,6078,1198,1
a1,20260730_143507_context-ablation-a1,hard_03,reasoning,2,0,fail,1,0,0,0,0,completed,halt_forced,1,1325.7,403279,20523,55,3,0,2,11,6,17162,0,0,146385,2766,11,184204,3558,17,46517,3670,11,11044,2158,10,0,0,0,0,0,0,10976,3818,1,1603,3299,1,2550,1254,1
a1,20260730_143507_context-ablation-a1,medium_01,checkout,3,0,invalid,1,0,1,0,0,harness_timeout,,0,7320.0,12574,2572,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10977,1440,1,1597,1132,1,0,0,0
a1,20260730_143507_context-ablation-a1,hard_01,reasoning,1,0,invalid,1,0,1,0,0,harness_timeout,,0,7320.0,329691,20939,55,0,0,2,9,1,17162,0,2,122549,2245,10,121080,1861,11,39433,2827,10,17623,5669,16,4049,201,4,1394,3521,1,21953,2481,2,1610,2134,1,0,0,0
