arm,battery,prompt_id,try,leg_index,leg_type,leg_attempt,success,end_reason,timesteps,llm_calls,tokens_in,tokens_out,wall_s,halts_refused,halt_forced,errors,actor_in,actor_out,actor_calls,semantic_in,semantic_out,semantic_calls,episodic_in,episodic_out,episodic_calls,perception_in,perception_out,perception_calls,guard_in,guard_out,guard_calls,findings_in,findings_out,findings_calls,resolver_in,resolver_out,resolver_calls,decomposer_in,decomposer_out,decomposer_calls,responder_in,responder_out,responder_calls
baseline,20260730_040404,easy_01,try01,0,pickup,1,1,halt_granted,8,25,223080,5346,459.9,0,0,0,91579,1557,7,87046,1134,8,28045,1851,7,15401,757,14,1009,47,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,easy_01,try02,0,pickup,1,0,time_cap,43,134,3275265,41978,2402.6,0,0,0,2448109,10941,43,521094,7536,43,259925,15956,43,41050,7274,37,5087,271,5,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,easy_01,try02,1,pickup,2,0,time_cap,48,148,3976261,51414,2464.0,0,0,0,2903846,11631,48,734710,8988,48,266917,17121,48,66718,13477,60,4070,197,4,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,easy_01,try03,0,pickup,1,1,halt_granted,11,34,346964,7898,630.3,0,0,0,163378,2250,10,120962,1686,11,43992,2988,10,17623,929,16,1009,45,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,easy_03,try01,0,goto,1,1,halt_granted,2,6,29337,837,85.0,0,0,0,6781,230,1,21284,348,2,1272,259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,easy_03,try01,1,pickup,1,1,halt_granted,5,16,126524,4408,241.4,0,0,0,44961,802,4,58669,731,5,17503,1203,4,4374,1621,4,1017,51,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,easy_03,try02,0,goto,1,1,halt_granted,2,6,29551,1073,112.8,0,0,0,6750,443,1,21347,343,2,1454,287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,easy_03,try02,1,pickup,1,1,halt_granted,5,16,127184,4609,263.7,0,0,0,45216,884,4,58717,776,5,17840,1245,4,4394,1655,4,1017,49,1,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,easy_03,try03,0,goto,1,1,halt_granted,2,6,29434,953,110.4,0,0,0,6739,367,1,21328,309,2,1367,277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline,20260730_040404,easy_03,try03,1,pickup,1,1,halt_granted,5,16,126659,4326,261.3,0,0,0,45020,821,4,58647,767,5,17581,1137,4,4394,1549,4,1017,52,1,0,0,0,0,0,0,0,0,0,0,0,0
